GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
POS,com.increff.pos.dao,DailyReportDao,0,38,0,0,0,10,0,4,0,4
POS,com.increff.pos.dao,AbstractDao,0,13,0,0,0,3,0,3,0,3
POS,com.increff.pos.dao,ProductDao,5,72,1,1,1,18,1,6,0,6
POS,com.increff.pos.dao,BrandDao,14,69,1,1,3,17,2,6,1,6
POS,com.increff.pos.dao,InventoryDao,14,44,1,1,3,12,2,5,1,5
POS,com.increff.pos.dao,UserDao,0,49,0,0,0,11,0,5,0,5
POS,com.increff.pos.dao,OrderItemDao,45,63,2,2,11,16,3,7,2,6
POS,com.increff.pos.dao,OrderDao,25,68,2,0,7,16,3,6,2,6
POS,com.increff.pos.dto,ReportDto,0,481,0,16,0,90,0,12,0,4
POS,com.increff.pos.dto,UserDto,49,74,2,4,11,20,3,6,1,5
POS,com.increff.pos.dto,BrandDto,0,88,0,4,0,23,0,7,0,5
POS,com.increff.pos.dto,ProductDto,35,162,3,11,5,39,3,10,0,6
POS,com.increff.pos.dto,DailyReportDto,0,208,0,8,0,47,0,10,0,6
POS,com.increff.pos.dto,OrderItemDto,5,86,1,5,1,19,1,7,0,5
POS,com.increff.pos.dto,InventoryDto,30,150,3,11,5,37,3,10,0,6
POS,com.increff.pos.dto,PdfGeneratorDto,11,245,1,3,5,55,1,5,0,4
POS,com.increff.pos.model.forms,ProductForm,0,38,0,0,0,7,0,11,0,11
POS,com.increff.pos.model.forms,BrandForm,0,17,0,0,0,4,0,5,0,5
POS,com.increff.pos.model.forms,LoginForm,17,0,0,0,4,0,5,0,5,0
POS,com.increff.pos.model.forms,UserForm,0,17,0,0,0,4,0,5,0,5
POS,com.increff.pos.model.forms,OrderItemForm,0,24,0,0,0,5,0,7,0,7
POS,com.increff.pos.model.forms,DailyReportForm,0,17,0,0,0,4,0,5,0,5
POS,com.increff.pos.model.forms,InventoryForm,0,17,0,0,0,4,0,5,0,5
POS,com.increff.pos.flow,OrderFlow,10,140,2,8,2,27,2,6,0,3
POS,com.increff.pos.dto.helper,OrderItemDtoHelper,3,46,0,0,1,13,1,2,1,2
POS,com.increff.pos.dto.helper,DailyReportDtoHelper,3,43,0,0,1,11,1,2,1,2
POS,com.increff.pos.dto.helper,UserDtoHelper,3,44,0,0,1,12,1,3,1,3
POS,com.increff.pos.dto.helper,BrandDtoHelper,3,46,0,0,1,12,1,3,1,3
POS,com.increff.pos.dto.helper,OrderDtoHelper,17,0,0,0,5,0,2,0,2,0
POS,com.increff.pos.dto.helper,ProductDtoHelper,3,65,0,0,1,17,1,3,1,3
POS,com.increff.pos.dto.helper,InventoryDtoHelper,3,27,0,0,1,8,1,2,1,2
POS,com.increff.pos.exception,ApiException,3,20,0,0,1,8,1,3,1,3
POS,com.increff.pos.api,OrderApi,0,47,0,4,0,14,0,8,0,6
POS,com.increff.pos.api,ProductApi,0,39,0,2,0,11,0,7,0,6
POS,com.increff.pos.api,BrandApi,0,44,0,2,0,12,0,8,0,7
